benchmark,run,result
load-store,baseline,0
load-store,op,0
load-store,naive,40
mixed,baseline,0
mixed,op,5
mixed,naive,8
add-complex,baseline,0
add-complex,op,4
add-complex,naive,10
sub,baseline,0
sub,op,2
sub,naive,2
args,baseline,0
args,op,2
args,naive,2
partial-match-mixed,baseline,0
partial-match-mixed,op,2
partial-match-mixed,naive,6
contrived,baseline,0
contrived,op,3
contrived,naive,6
partial-match,baseline,0
partial-match,op,2
partial-match,naive,4
store,baseline,0
store,op,0
store,naive,32
multi-block-add,baseline,0
multi-block-add,op,4
multi-block-add,naive,6
load,baseline,0
load,op,0
load,naive,32
mul,baseline,0
mul,op,2
mul,naive,2
div,baseline,0
div,op,0
div,naive,0
add,baseline,0
add,op,2
add,naive,2
mac,baseline,0
mac,op,2
mac,naive,12
repeat,baseline,0
repeat,op,3
repeat,naive,4
