benchmark,run,result
ray-sphere-intersection,baseline,142
ray-sphere-intersection,inline,174
quadratic,baseline,785
quadratic,inline,791
primes-between,baseline,574100
primes-between,inline,694229
orders,baseline,5352
orders,inline,6916
cholesky,baseline,3761
cholesky,inline,3782
relative-primes,baseline,1923
relative-primes,inline,2058
sieve,baseline,3482
sieve,inline,3634
newton,baseline,217
newton,inline,292
check-primes,baseline,8468
check-primes,inline,8566
sum-sq-diff,baseline,3038
sum-sq-diff,inline,3042
bubblesort,baseline,253
bubblesort,inline,271
mat-inv,baseline,1044
mat-inv,inline,1459
loopfact,baseline,116
loopfact,inline,116
recfact,baseline,104
recfact,inline,104
riemann,baseline,298
riemann,inline,358
adler32,baseline,6851
adler32,inline,7050
factors,baseline,72
factors,inline,72
perfect,baseline,232
perfect,inline,232
digital-root,baseline,247
digital-root,inline,299
adj2csr,baseline,56629
adj2csr,inline,59716
up-arrow,baseline,252
up-arrow,inline,252
sum-divisors,baseline,159
sum-divisors,inline,189
ackermann,baseline,1464231
ackermann,inline,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,inline,61518
euclid,baseline,563
euclid,inline,626
binary-fmt,baseline,100
binary-fmt,inline,124
mat-mul,baseline,1990407
mat-mul,inline,2012922
gcd,baseline,46
gcd,inline,46
pow,baseline,36
pow,inline,37
armstrong,baseline,133
armstrong,inline,151
fib,baseline,121
fib,inline,121
collatz,baseline,169
collatz,inline,169
sum-bits,baseline,73
sum-bits,inline,91
rectangles-area-difference,baseline,14
rectangles-area-difference,inline,20
sqrt,baseline,322
sqrt,inline,322
eight-queens,baseline,1006454
eight-queens,inline,1053614
fizz-buzz,baseline,3652
fizz-buzz,inline,3652
