benchmark,run,result
quadratic,baseline,785
quadratic,licm,703
primes-between,baseline,574100
primes-between,licm,491191
orders,baseline,5352
orders,licm,4928
relative-primes,baseline,1923
relative-primes,licm,1858
check-primes,baseline,8468
check-primes,licm,8058
sum-sq-diff,baseline,3038
sum-sq-diff,licm,2840
loopfact,baseline,116
loopfact,licm,101
recfact,baseline,104
recfact,licm,104
pythagorean-triple,baseline,61518
pythagorean-triple,licm,61518
factors,baseline,72
factors,licm,72
perfect,baseline,232
perfect,licm,232
digital-root,baseline,247
digital-root,licm,247
up-arrow,baseline,252
up-arrow,licm,252
sum-divisors,baseline,159
sum-divisors,licm,159
ackermann,baseline,1464231
ackermann,licm,1464231
euclid,baseline,563
euclid,licm,563
binary-fmt,baseline,100
binary-fmt,licm,100
gcd,baseline,46
gcd,licm,46
armstrong,baseline,133
armstrong,licm,133
collatz,baseline,169
collatz,licm,169
sum-bits,baseline,73
sum-bits,licm,73
rectangles-area-difference,baseline,14
rectangles-area-difference,licm,14
fizz-buzz,baseline,3652
fizz-buzz,licm,2929
