benchmark,run,result
quadratic,baseline,785
quadratic,lvn,412
primes-between,baseline,574100
primes-between,lvn,574100
orders,baseline,5352
orders,lvn,5352
relative-primes,baseline,1923
relative-primes,lvn,1923
check-primes,baseline,8468
check-primes,lvn,8468
sum-sq-diff,baseline,3038
sum-sq-diff,lvn,incorrect
loopfact,baseline,116
loopfact,lvn,116
recfact,baseline,104
recfact,lvn,104
pythagorean-triple,baseline,61518
pythagorean-triple,lvn,61518
factors,baseline,72
factors,lvn,72
perfect,baseline,232
perfect,lvn,232
digital-root,baseline,247
digital-root,lvn,247
up-arrow,baseline,252
up-arrow,lvn,252
sum-divisors,baseline,159
sum-divisors,lvn,159
ackermann,baseline,1464231
ackermann,lvn,1464231
euclid,baseline,563
euclid,lvn,incorrect
binary-fmt,baseline,100
binary-fmt,lvn,100
gcd,baseline,46
gcd,lvn,46
armstrong,baseline,133
armstrong,lvn,133
collatz,baseline,169
collatz,lvn,169
sum-bits,baseline,73
sum-bits,lvn,73
rectangles-area-difference,baseline,14
rectangles-area-difference,lvn,14
fizz-buzz,baseline,3652
fizz-buzz,lvn,3652
