benchmark,run,result
ray-sphere-intersection,baseline,142
ray-sphere-intersection,oplvn,142
quadratic,baseline,785
quadratic,oplvn,2655
primes-between,baseline,574100
primes-between,oplvn,2049336
orders,baseline,5352
orders,oplvn,15436
cholesky,baseline,3761
cholesky,oplvn,11412
relative-primes,baseline,1923
relative-primes,oplvn,3752
sieve,baseline,3482
sieve,oplvn,10685
newton,baseline,217
newton,oplvn,271
check-primes,baseline,8468
check-primes,oplvn,23171
sum-sq-diff,baseline,3038
sum-sq-diff,oplvn,9904
bubblesort,baseline,253
bubblesort,oplvn,677
mat-inv,baseline,1044
mat-inv,oplvn,3419
loopfact,baseline,116
loopfact,oplvn,360
recfact,baseline,104
recfact,oplvn,223
riemann,baseline,298
riemann,oplvn,479
adler32,baseline,6851
adler32,oplvn,29150
factors,baseline,72
factors,oplvn,258
perfect,baseline,232
perfect,oplvn,1112
digital-root,baseline,247
digital-root,oplvn,766
adj2csr,baseline,56629
adj2csr,oplvn,187339
up-arrow,baseline,252
up-arrow,oplvn,958
sum-divisors,baseline,159
sum-divisors,oplvn,687
ackermann,baseline,1464231
ackermann,oplvn,3443653
pythagorean_triple,baseline,61518
pythagorean_triple,oplvn,308329
euclid,baseline,563
euclid,oplvn,1169
binary-fmt,baseline,100
binary-fmt,oplvn,290
mat-mul,baseline,1990407
mat-mul,oplvn,9182282
gcd,baseline,46
gcd,oplvn,124
pow,baseline,36
pow,oplvn,100
armstrong,baseline,133
armstrong,oplvn,435
fib,baseline,121
fib,oplvn,434
collatz,baseline,169
collatz,oplvn,472
sum-bits,baseline,73
sum-bits,oplvn,241
rectangles-area-difference,baseline,14
rectangles-area-difference,oplvn,55
sqrt,baseline,322
sqrt,oplvn,682
eight-queens,baseline,1006454
eight-queens,oplvn,3254736
fizz-buzz,baseline,3652
fizz-buzz,oplvn,13326
