benchmark,run,result
quadratic,baseline,missing
quadratic,ssa,incorrect
primes-between,baseline,missing
primes-between,ssa,incorrect
orders,baseline,missing
orders,ssa,incorrect
relative-primes,baseline,missing
relative-primes,ssa,incorrect
check-primes,baseline,missing
check-primes,ssa,incorrect
sum-sq-diff,baseline,missing
sum-sq-diff,ssa,incorrect
loopfact,baseline,missing
loopfact,ssa,incorrect
recfact,baseline,missing
recfact,ssa,incorrect
pythagorean-triple,baseline,missing
pythagorean-triple,ssa,incorrect
factors,baseline,missing
factors,ssa,incorrect
perfect,baseline,missing
perfect,ssa,incorrect
digital-root,baseline,missing
digital-root,ssa,incorrect
up-arrow,baseline,missing
up-arrow,ssa,incorrect
sum-divisors,baseline,missing
sum-divisors,ssa,incorrect
ackermann,baseline,missing
ackermann,ssa,incorrect
euclid,baseline,missing
euclid,ssa,incorrect
binary-fmt,baseline,missing
binary-fmt,ssa,incorrect
gcd,baseline,missing
gcd,ssa,incorrect
pow,baseline,missing
pow,ssa,incorrect
armstrong,baseline,missing
armstrong,ssa,incorrect
collatz,baseline,missing
collatz,ssa,incorrect
sum-bits,baseline,missing
sum-bits,ssa,incorrect
rectangles-area-difference,baseline,missing
rectangles-area-difference,ssa,incorrect
fizz-buzz,baseline,missing
fizz-buzz,ssa,incorrect
