benchmark,run,result
ray-sphere-intersection,brili,142
ray-sphere-intersection,brili-gc,142
quadratic,brili,785
quadratic,brili-gc,785
primes-between,brili,574100
primes-between,brili-gc,574100
orders,brili,5352
orders,brili-gc,5352
cholesky,brili,3761
cholesky,brili-gc,3761
relative-primes,brili,1923
relative-primes,brili-gc,1923
sieve,brili,3482
sieve,brili-gc,3482
newton,brili,217
newton,brili-gc,217
check-primes,brili,8468
check-primes,brili-gc,8468
sum-sq-diff,brili,3038
sum-sq-diff,brili-gc,3038
bubblesort,brili,253
bubblesort,brili-gc,253
mat-inv,brili,1044
mat-inv,brili-gc,1044
loopfact,brili,116
loopfact,brili-gc,116
recfact,brili,104
recfact,brili-gc,104
riemann,brili,298
riemann,brili-gc,298
adler32,brili,6851
adler32,brili-gc,6851
factors,brili,72
factors,brili-gc,72
perfect,brili,232
perfect,brili-gc,232
digital-root,brili,247
digital-root,brili-gc,247
adj2csr,brili,56629
adj2csr,brili-gc,56629
up-arrow,brili,252
up-arrow,brili-gc,252
sum-divisors,brili,159
sum-divisors,brili-gc,159
ackermann,brili,1464231
ackermann,brili-gc,1464231
pythagorean_triple,brili,61518
pythagorean_triple,brili-gc,61518
euclid,brili,563
euclid,brili-gc,563
binary-fmt,brili,100
binary-fmt,brili-gc,100
mat-mul,brili,1990407
mat-mul,brili-gc,1990407
gcd,brili,46
gcd,brili-gc,46
pow,brili,36
pow,brili-gc,36
armstrong,brili,133
armstrong,brili-gc,133
fib,brili,121
fib,brili-gc,121
collatz,brili,169
collatz,brili-gc,169
sum-bits,brili,73
sum-bits,brili-gc,73
rectangles-area-difference,brili,14
rectangles-area-difference,brili-gc,14
sqrt,brili,322
sqrt,brili-gc,322
eight-queens,brili,1006454
eight-queens,brili-gc,1006454
fizz-buzz,brili,3652
fizz-buzz,brili-gc,3652
